priorite;score;nom_entreprise;adresse;telephone;telephone_intl;site_web;statut_web;note_google;nombre_avis;nb_photos_api;niche;ville;raisons;horaires_apercu;lien_google_maps;place_id;statut_appel;date_appel;notes;date_extraction
CHAUD;112;Dépannage rapide 21 - Serrurier Plombier Vitrier 24h/24;1 Rue Dr Lavalle, 21000 Dijon, France;09 72 19 58 03;+33 9 72 19 58 03;;Non;4.5;427;10;plombier;Dijon;10+ photos API (excellent) / 427 avis (exceptionnel) / Aucun site web → opportunité maximale / Note 4.5/5 (idéale) / Horaires renseignés;lundi: Ouvert 24h/24 | mardi: Ouvert 24h/24 | mercredi: Ouvert 24h/24;https://maps.google.com/?cid=14943002758500228583;ChIJ_1yTue-d8kcR550WYtY1YM8;;;;2026-05-08
CHAUD;108;Castet Plomberie;44 Rue Jules Bruneau, 51100 Reims, France;06 22 46 30 34;+33 6 22 46 30 34;;Non;5;208;10;plombier;Reims;10+ photos API (excellent) / 208 avis (exceptionnel) / Aucun site web → opportunité maximale / Note 5.0/5 (excellente) / Horaires renseignés;lundi: 08:00 – 17:00 | mardi: 08:00 – 17:00 | mercredi: 08:00 – 17:00;https://maps.google.com/?cid=7444981614869806575;ChIJp9GnzGV06UcR7_2gYVXjUWc;;;;2026-05-08
CHAUD;108;AL CHAUFFAGE 68;5 Av. du Général de Gaulle, 68000 Colmar, France;07 67 66 40 92;+33 7 67 66 40 92;;Non;5;201;10;plombier;Colmar;10+ photos API (excellent) / 201 avis (exceptionnel) / Aucun site web → opportunité maximale / Note 5.0/5 (excellente) / Horaires renseignés;lundi: 07:01 – 22:00 | mardi: 07:00 – 22:00 | mercredi: 07:00 – 22:00;https://maps.google.com/?cid=13284436210302519450;ChIJ_4rX3EOJ104RmghrbFnMW7g;;;;2026-05-08
CHAUD;108;FR Plomberie;15-17, Rue du Moulin Rouge, 28630 Nogent-le-Phaye, France;02 37 27 80 18;+33 2 37 27 80 18;;Non;4.9;418;10;plombier;Chartres;10+ photos API (excellent) / 418 avis (exceptionnel) / Aucun site web → opportunité maximale / Note 4.9/5 (excellente) / Horaires renseignés;lundi: 08:00 – 12:00, 13:00 – 17:30 | mardi: 08:00 – 12:00, 13:00 – 17:30 | mercredi: 08:00 – 12:00, 13:00 – 17:30;https://maps.google.com/?cid=11483694429251998575;ChIJj3HPfdYN5EcRb5OyfD1HXp8;;;;2026-05-08
CHAUD;108;Eurogaz service;10 Rte de la Bassée, 62300 Lens, France;03 21 67 51 25;+33 3 21 67 51 25;;Non;5;470;10;plombier;Lens;10+ photos API (excellent) / 470 avis (exceptionnel) / Aucun site web → opportunité maximale / Note 5.0/5 (excellente) / Horaires renseignés;lundi: 08:00 – 12:00, 14:00 – 17:00 | mardi: 08:00 – 12:00, 14:00 – 17:00 | mercredi: 08:00 – 12:00, 14:00 – 17:00;https://maps.google.com/?cid=1457274291822532000;ChIJ1xb3wgwx3UcRoBVkWD9HORQ;;;;2026-05-08
CHAUD;107;Multi Services;17 Rue de Pissardant, 79000 Niort, France;05 49 79 48 87;+33 5 49 79 48 87;;Non;4.6;86;10;plombier;Niort;10+ photos API (excellent) / 86 avis (très bon) / Aucun site web → opportunité maximale / Note 4.6/5 (idéale) / Horaires renseignés;lundi: 08:00 – 22:00 | mardi: 08:00 – 22:00 | mercredi: 08:00 – 22:00;https://maps.google.com/?cid=8753868417497904264;ChIJ9zddL64xB0gRiDR5G_L8e3k;;;;2026-05-08
CHAUD;107;AQUA’TECH - Piscines & Spas;17 Rue Victor Grignard, 42000 Saint-Étienne, France;04 77 91 13 43;+33 4 77 91 13 43;;Non;4.6;77;10;pisciniste;Saint-Étienne;10+ photos API (excellent) / 77 avis (très bon) / Aucun site web → opportunité maximale / Note 4.6/5 (idéale) / Horaires renseignés;lundi: 13:00 – 18:00 | mardi: 10:00 – 18:00 | mercredi: 10:00 – 18:00;https://maps.google.com/?cid=12455032139193331143;ChIJL6eQn4yr9UcRxy2xsr0p2aw;;;;2026-05-08
CHAUD;105;A LA PISCINE PASSION;260 Quai Commandant Rivière, 83200 Toulon, France;09 61 41 74 86;+33 9 61 41 74 86;;Non;4;112;10;pisciniste;Toulon;10+ photos API (excellent) / 112 avis (très bon) / Aucun site web → opportunité maximale / Note 4.0/5 (idéale) / Horaires renseignés;lundi: 09:00 – 19:00 | mardi: 09:00 – 19:00 | mercredi: 09:00 – 19:00;https://maps.google.com/?cid=8245457352470467598;ChIJi6ZQ1i0byRIRDpSimMa_bXI;;;;2026-05-08
CHAUD;103;SAS GAMARY Recherche de fuite, rénovation/dépannage d'urgence 24h/24;12 Rue de la Bienvenue, 45000 Orléans, France;06 70 82 55 58;+33 6 70 82 55 58;;Non;4.9;157;10;plombier;Orléans;10+ photos API (excellent) / 157 avis (très bon) / Aucun site web → opportunité maximale / Note 4.9/5 (excellente) / Horaires renseignés;lundi: Ouvert 24h/24 | mardi: Ouvert 24h/24 | mercredi: Ouvert 24h/24;https://maps.google.com/?cid=9496000039725891469;ChIJxRiWGsjl5EcRjf_0YrmRyIM;;;;2026-05-08
CHAUD;103;Allo Plombier. Maître Artisan.;1 All. Jules Renard, 21240 Talant, France;06 12 66 47 78;+33 6 12 66 47 78;;Non;4.8;91;10;plombier;Dijon;10+ photos API (excellent) / 91 avis (très bon) / Aucun site web → opportunité maximale / Note 4.8/5 (excellente) / Horaires renseignés;lundi: 08:00 – 18:00 | mardi: 08:00 – 18:00 | mercredi: 08:00 – 18:00;https://maps.google.com/?cid=1149995689013715671;ChIJ59BqHDOZ8kcR16LkePya9Q8;;;;2026-05-08
