priorite;score;nom_entreprise;adresse;telephone;telephone_intl;site_web;statut_web;note_google;nombre_avis;nb_photos_api;niche;ville;raisons;horaires_apercu;lien_google_maps;place_id;statut_appel;date_appel;notes;date_extraction
CHAUD;96;Plomberie Vendomoise;10 Rue du 11 Novembre, 41100 Azé, France;06 10 42 39 11;+33 6 10 42 39 11;;Non;4.9;39;10;plombier;Vendôme;10+ photos API (excellent) / 39 avis (bon) / Aucun site web → opportunité maximale / Note 4.9/5 (excellente) / Horaires renseignés;lundi: 07:30 – 19:30 | mardi: 07:30 – 19:30 | mercredi: 07:30 – 19:30;https://maps.google.com/?cid=12829755151613153800;ChIJM9qyXAsT40cRCNIj31VyDLI;;;;2026-05-18
CHAUD;96;JBELEC Électricité;21 Haute Rue, 41350 Vineuil, France;06 29 09 01 87;+33 6 29 09 01 87;;Non;5;72;10;électricien;Blois;10+ photos API (excellent) / 72 avis (bon) / Aucun site web → opportunité maximale / Note 5.0/5 (excellente) / Horaires renseignés;lundi: 07:30 – 19:00 | mardi: 07:30 – 19:00 | mercredi: 07:30 – 19:00;https://maps.google.com/?cid=13354088864713993256;ChIJq9HtnXip5EcRKOxGyBFBU7k;;;;2026-05-18
CHAUD;95;BEN'S;23 Rue de Cabochon, 41000 Blois, France;07 68 11 30 06;+33 7 68 11 30 06;https://sites.google.com/view/bensfr/accueil;Annuaire/Pages Jaunes uniquement;4.9;199;10;plombier;Blois;10+ photos API (excellent) / 199 avis (très bon) / Annuaire uniquement (pas de vrai site) / Note 4.9/5 (excellente) / Horaires renseignés;lundi: 08:00 – 19:00 | mardi: 08:00 – 19:00 | mercredi: 08:00 – 19:00;https://maps.google.com/?cid=7552650748162221888;ChIJw-kIkDNX40cRQCfM_NZn0Gg;;;;2026-05-18
CHAUD;93;Aea Domotique;39 Fbg Chartrain, 41100 Vendôme, France;02 54 80 79 07;+33 2 54 80 79 07;;Non;4.3;24;10;électricien;Vendôme;10+ photos API (excellent) / 24 avis (correct) / Aucun site web → opportunité maximale / Note 4.3/5 (idéale) / Horaires renseignés;lundi: 08:45 – 12:15, 13:30 – 17:00 | mardi: 08:45 – 12:15, 13:30 – 17:00 | mercredi: 08:45 – 12:15, 13:30 – 17:00;https://maps.google.com/?cid=8819862881862607904;ChIJNXh1Tstr40cRIOQSuY9yZno;;;;2026-05-18
CHAUD;89;MONGIS PLOMBERIE;4 Rue de Beauverger, 37100 Tours, France;07 69 53 59 25;+33 7 69 53 59 25;;Non;5;21;10;plombier;Tours;10+ photos API (excellent) / 21 avis (correct) / Aucun site web → opportunité maximale / Note 5.0/5 (excellente) / Horaires renseignés;lundi: 06:00 – 21:00 | mardi: 06:00 – 21:00 | mercredi: 06:00 – 21:00;https://maps.google.com/?cid=6939014482290746439;ChIJyVBKoY7V_EcRRyQ7POhUTGA;;;;2026-05-18
CHAUD;87;Entreprise Loyer SARL;ZA Des Perrières, 75 All. Gustave Eiffel, 41350 Saint-Gervais-la-Forêt, France;02 54 50 51 20;+33 2 54 50 51 20;https://www.facebook.com/profile.php?id=61571829154499&utm_source=gmb;Réseaux sociaux uniquement;4.4;30;10;plombier;Blois;10+ photos API (excellent) / 30 avis (correct) / Réseaux sociaux uniquement / Note 4.4/5 (idéale) / Horaires renseignés;lundi: 08:00 – 11:45, 13:30 – 17:30 | mardi: 08:00 – 11:45, 13:30 – 17:30 | mercredi: 08:00 – 11:45, 13:30 – 17:30;https://maps.google.com/?cid=15048825161610822777;ChIJ89UJDhyp5EcReQTGnMAq2NA;;;;2026-05-18
CHAUD;83;Oelec 37;4 Rue Maria Montessori, 37390 Notre-Dame-d'Oé, France;06 81 09 33 71;+33 6 81 09 33 71;http://www.facebook.com/oelec.37/?utm_source=gmb;Réseaux sociaux uniquement;4.8;27;10;électricien;Tours;10+ photos API (excellent) / 27 avis (correct) / Réseaux sociaux uniquement / Note 4.8/5 (excellente) / Horaires renseignés;lundi: 08:00 – 18:30 | mardi: 08:00 – 18:30 | mercredi: 08:00 – 18:30;https://maps.google.com/?cid=5095909288219609443;ChIJv6hHIykr40cRY4nxk39OuEY;;;;2026-05-18
CHAUD;76;BMServices Electricité générale;39 G Rue des Ormeaux, 41120 Cellettes, France;06 59 31 34 05;+33 6 59 31 34 05;http://bmservices.jimdo.com/;Constructeur bas de gamme (bmservices.jimdo.com);4.9;46;10;électricien;Blois;10+ photos API (excellent) / 46 avis (bon) / Site constructeur bas de gamme / Note 4.9/5 (excellente) / Horaires renseignés;lundi: 08:30 – 18:30 | mardi: 08:30 – 18:30 | mercredi: 08:30 – 18:30;https://maps.google.com/?cid=16139435982655209777;ChIJoYYYoI6r5EcRMUFSDYTL-t8;;;;2026-05-18
TIÈDE;68;Compagnie des Déboucheurs Indre-et-Loire;152 Av. de la Tranchée, 37100 Tours, France;02 47 39 91 26;+33 2 47 39 91 26;https://www.compagnie-deboucheurs.com/indre-et-loire/;Oui;4.9;966;10;plombier;Tours;10+ photos API (excellent) / 966 avis (exceptionnel) / Site web existant (à vérifier) / Note 4.9/5 (excellente) / Horaires renseignés;lundi: Ouvert 24h/24 | mardi: Ouvert 24h/24 | mercredi: Ouvert 24h/24;https://maps.google.com/?cid=18421299742805120774;ChIJgyTIgybV_EcRBtfkDoSapf8;;;;2026-05-18
TIÈDE;68;POTREL Ets plombier chauffagiste;110 Bd Charles de Gaulle, 37540 Saint-Cyr-sur-Loire, France;06 70 49 60 03;+33 6 70 49 60 03;http://www.gratuit-5699408.webadorsite.com/;Oui;4.7;295;10;plombier;Tours;10+ photos API (excellent) / 295 avis (exceptionnel) / Site web existant (à vérifier) / Note 4.7/5 (excellente) / Horaires renseignés;lundi: 07:00 – 22:00 | mardi: 07:00 – 22:00 | mercredi: 07:00 – 22:00;https://maps.google.com/?cid=9661605337132626870;ChIJydl8MHDV_EcRtvPOX93qFIY;;;;2026-05-18
